# 배음렬 점수로 뽑은 음 사건 — YIN 과 무관하다
# 787개 · bass_sample_2.wav · 0.0~240.5초
# 시각(초)  MIDI  길이(초)
0.280 29 0.210
0.620 41 0.330
0.990 36 0.180
1.210 41 0.120
1.890 46 0.040
1.940 34 0.050
2.020 36 0.070
2.140 41 0.070
2.220 29 0.070
2.450 41 0.370
2.830 36 0.250
3.090 41 0.140
3.750 36 0.100
3.930 34 0.050
4.040 32 0.050
4.140 32 0.050
4.370 32 0.170
4.670 34 0.490
5.240 46 0.370
5.830 32 0.190
6.200 32 0.190
6.550 34 0.460
7.080 46 0.090
7.200 46 0.190
7.660 41 0.050
7.720 29 0.160
8.020 41 0.340
8.420 36 0.170
8.630 41 0.170
9.280 46 0.050
9.340 34 0.040
9.410 36 0.110
9.610 29 0.140
9.860 41 0.360
10.250 36 0.230
10.490 41 0.190
11.130 36 0.110
11.300 34 0.050
11.400 32 0.150
11.700 32 0.190
12.070 34 0.440
12.540 46 0.040
12.610 46 0.360
13.190 32 0.210
13.570 32 0.190
13.960 34 0.440
14.410 46 0.060
14.500 46 0.080
14.620 46 0.110
14.830 48 2.440
18.300 45 0.060
18.740 38 0.210
18.970 50 0.110
19.220 38 0.090
19.430 33 0.460
19.900 45 0.080
20.170 28 0.050
20.340 34 0.470
20.830 46 0.050
21.020 34 0.250
21.510 36 0.260
21.780 48 0.060
22.000 37 0.230
22.240 49 0.080
22.450 38 0.210
22.670 50 0.100
22.930 38 0.080
23.120 33 0.460
23.590 45 0.080
24.040 34 0.470
24.520 46 0.080
24.740 34 0.240
25.210 36 0.210
25.430 48 0.120
25.660 37 0.220
25.890 49 0.110
26.150 38 0.190
26.350 50 0.120
26.600 38 0.080
26.800 33 0.480
27.290 45 0.070
27.520 28 0.050
27.710 34 0.470
28.190 46 0.100
28.430 34 0.220
28.880 36 0.230
29.120 48 0.090
29.330 37 0.240
29.580 49 0.110
29.850 38 0.180
30.040 50 0.120
30.330 38 0.060
30.500 33 0.450
30.960 45 0.100
31.210 28 0.060
31.410 34 0.450
31.870 46 0.100
32.130 34 0.200
32.560 36 0.230
32.800 48 0.060
32.980 28 0.040
33.050 37 0.220
33.280 49 0.050
33.510 38 0.210
33.730 50 0.130
33.990 38 0.100
34.200 33 0.460
34.670 45 0.100
35.110 34 0.460
35.580 46 0.090
35.830 34 0.200
36.270 36 0.260
36.540 48 0.060
36.740 37 0.220
36.970 49 0.100
37.230 38 0.200
37.460 50 0.090
37.700 38 0.100
37.920 33 0.450
38.380 45 0.100
38.830 34 0.460
39.320 46 0.060
39.530 34 0.200
39.900 29 0.050
39.980 36 0.210
40.200 48 0.090
40.400 37 0.270
40.680 49 0.070
40.890 38 0.210
41.120 50 0.120
41.360 38 0.130
41.620 33 0.450
42.080 45 0.100
42.540 34 0.420
42.970 46 0.100
43.190 34 0.240
43.570 28 0.080
43.660 36 0.280
43.950 48 0.080
44.130 37 0.230
44.370 49 0.110
44.610 38 0.200
44.820 50 0.120
45.040 38 0.130
45.300 33 0.440
45.750 45 0.120
46.210 34 0.470
46.890 34 0.230
47.340 36 0.260
47.610 48 0.070
47.810 37 0.250
48.070 49 0.060
48.290 38 0.220
48.520 50 0.100
48.730 50 0.040
48.780 38 0.100
49.010 33 0.440
49.460 45 0.080
49.730 28 0.050
49.890 34 0.460
50.360 46 0.080
50.590 34 0.250
50.850 33 0.050
51.030 32 0.050
51.170 36 0.160
51.340 48 0.060
51.520 37 0.250
51.780 49 0.100
51.980 38 0.230
52.220 50 0.100
52.450 38 0.090
52.670 33 0.470
53.150 45 0.100
53.610 34 0.430
54.060 46 0.070
54.280 34 0.230
54.730 36 0.250
54.990 48 0.070
55.190 37 0.200
55.420 49 0.080
55.650 38 0.240
55.900 50 0.110
56.170 38 0.090
56.370 33 0.440
56.820 45 0.110
57.280 34 0.360
57.650 35 0.090
57.770 46 0.070
58.000 34 0.190
58.420 33 0.050
58.550 36 0.140
58.700 48 0.070
58.870 37 0.270
59.150 49 0.080
59.390 38 0.160
59.580 50 0.120
59.850 38 0.080
60.050 33 0.470
60.530 45 0.080
60.980 34 0.450
61.440 46 0.090
61.670 34 0.260
62.130 36 0.240
62.380 48 0.110
62.570 37 0.220
62.800 49 0.140
63.060 38 0.210
63.280 50 0.100
63.490 38 0.130
63.750 33 0.450
64.240 45 0.060
64.670 34 0.480
65.160 46 0.080
65.390 34 0.190
65.840 36 0.230
66.080 48 0.100
66.320 37 0.190
66.530 49 0.140
66.770 38 0.220
67.000 50 0.130
67.260 38 0.090
67.490 33 0.390
67.890 45 0.110
68.360 34 0.430
68.810 46 0.110
69.060 34 0.200
69.480 36 0.240
69.730 48 0.120
69.980 37 0.200
70.410 38 0.250
70.690 50 0.100
70.910 38 0.120
71.150 33 0.400
71.560 45 0.120
72.060 34 0.450
72.520 46 0.100
72.750 34 0.230
73.230 36 0.190
73.430 48 0.120
73.690 37 0.210
73.910 49 0.090
74.150 38 0.220
74.380 50 0.110
74.600 38 0.120
74.860 33 0.400
75.270 45 0.120
75.740 34 0.430
76.180 46 0.090
76.430 34 0.240
76.890 36 0.240
77.140 48 0.070
77.360 37 0.230
77.600 49 0.090
77.800 38 0.250
78.060 50 0.100
78.310 38 0.090
78.530 33 0.460
79.000 45 0.070
79.430 34 0.430
79.870 46 0.090
80.110 34 0.240
80.570 36 0.280
80.860 48 0.070
81.080 37 0.250
81.340 49 0.060
81.520 38 0.230
81.760 50 0.100
82.020 38 0.080
82.230 33 0.410
82.650 45 0.130
82.960 28 0.040
83.130 34 0.440
83.580 46 0.090
83.820 34 0.200
84.290 36 0.230
84.530 48 0.060
84.760 37 0.210
84.980 49 0.100
85.250 38 0.180
85.440 50 0.100
85.720 38 0.090
85.850 29 0.040
85.910 33 0.430
86.350 45 0.100
86.810 34 0.440
87.290 46 0.090
87.510 34 0.200
87.950 33 0.070
88.080 36 0.140
88.230 48 0.070
88.460 37 0.210
88.680 49 0.070
88.870 38 0.220
89.100 50 0.110
89.360 38 0.120
89.610 33 0.440
90.060 45 0.080
90.350 28 0.060
90.530 34 0.440
90.980 46 0.050
91.230 34 0.200
91.660 32 0.050
91.800 36 0.130
91.940 48 0.080
92.130 37 0.290
92.590 38 0.230
92.830 50 0.080
93.060 38 0.090
93.310 33 0.420
93.740 45 0.100
93.970 34 0.040
94.190 34 0.440
94.670 46 0.080
94.890 34 0.240
95.250 29 0.060
95.380 36 0.240
95.630 48 0.060
95.820 37 0.260
96.090 49 0.060
96.290 38 0.200
96.520 50 0.070
96.750 38 0.110
96.960 33 0.500
97.470 45 0.090
97.900 34 0.480
98.390 46 0.050
98.580 34 0.250
99.190 36 0.100
99.300 48 0.110
99.510 37 0.240
99.760 49 0.060
99.960 38 0.250
100.220 50 0.100
100.400 38 0.140
100.550 57 0.080
100.650 33 0.510
101.170 45 0.060
101.410 29 0.040
101.600 34 0.470
102.080 46 0.080
102.270 34 0.270
102.770 36 0.240
103.020 48 0.070
103.220 37 0.250
103.480 49 0.060
103.690 38 0.230
103.930 50 0.070
104.130 50 0.040
104.180 38 0.070
104.370 33 0.460
104.840 45 0.080
105.270 34 0.460
105.740 46 0.100
105.990 34 0.190
106.420 36 0.260
106.690 48 0.060
106.870 49 0.160
107.360 38 0.240
107.610 50 0.140
107.860 38 0.110
108.080 33 0.420
108.530 45 0.130
108.970 34 0.490
109.470 46 0.060
109.700 34 0.200
110.140 34 0.040
110.220 36 0.170
110.400 48 0.060
110.600 37 0.240
110.850 49 0.090
111.060 38 0.230
111.300 50 0.110
111.550 38 0.080
111.760 33 0.390
112.190 45 0.120
112.670 34 0.420
113.100 46 0.100
113.340 34 0.260
113.730 28 0.060
113.810 36 0.260
114.080 48 0.060
114.280 37 0.250
114.540 49 0.090
114.720 38 0.240
114.990 50 0.090
115.210 38 0.090
115.460 33 0.420
115.890 45 0.100
116.350 34 0.440
116.800 46 0.090
117.080 34 0.190
117.410 28 0.050
117.500 36 0.270
117.780 48 0.070
117.960 37 0.240
118.210 49 0.070
118.430 38 0.210
118.650 50 0.090
118.900 38 0.080
119.110 33 0.470
119.590 45 0.090
119.690 57 0.040
119.800 33 0.250
120.060 45 0.070
120.180 40 0.050
120.310 34 0.200
120.520 46 0.090
120.770 34 0.180
120.980 46 0.090
121.200 36 0.260
121.470 48 0.060
121.640 37 0.260
121.910 49 0.090
122.110 38 0.240
122.360 50 0.090
122.590 38 0.080
122.800 33 0.500
123.310 45 0.070
123.740 34 0.460
124.210 46 0.110
124.440 34 0.230
124.880 33 0.040
125.000 36 0.130
125.140 48 0.070
125.220 47 0.040
125.360 37 0.210
125.580 49 0.120
125.840 38 0.230
126.080 50 0.080
126.300 38 0.100
126.510 33 0.470
126.990 45 0.100
127.250 28 0.040
127.440 34 0.450
127.930 46 0.060
128.140 34 0.190
128.710 36 0.110
128.830 48 0.130
129.060 37 0.270
129.340 49 0.060
129.520 38 0.220
129.770 50 0.080
129.980 38 0.110
130.220 33 0.490
130.720 45 0.050
131.140 34 0.420
131.570 46 0.110
131.830 34 0.200
132.190 29 0.060
132.380 36 0.150
132.540 48 0.080
132.750 37 0.240
133.000 49 0.090
133.210 38 0.250
133.470 50 0.070
133.670 38 0.100
133.900 33 0.480
134.390 45 0.090
134.830 34 0.450
135.290 46 0.060
135.530 34 0.220
136.080 36 0.150
136.240 48 0.050
136.430 37 0.250
136.690 49 0.080
136.880 38 0.250
137.140 50 0.100
137.390 38 0.100
137.620 33 0.400
138.070 45 0.090
138.620 34 0.370
139.200 34 0.250
139.650 33 0.060
139.790 36 0.140
139.940 48 0.100
140.150 37 0.230
140.390 49 0.090
140.590 38 0.240
140.850 50 0.090
141.070 38 0.080
141.180 57 0.060
141.290 33 0.460
141.760 45 0.100
142.350 34 0.300
142.660 46 0.080
142.910 34 0.230
143.150 46 0.050
143.350 34 0.060
143.450 36 0.130
143.820 45 0.080
144.280 38 0.220
144.510 50 0.120
144.750 38 0.120
144.880 57 0.080
145.000 33 0.440
145.450 45 0.100
145.900 34 0.480
146.600 34 0.230
147.050 36 0.240
147.300 48 0.090
147.520 37 0.240
147.770 49 0.080
147.970 38 0.230
148.230 50 0.090
148.470 38 0.070
148.650 33 0.410
149.120 45 0.110
149.600 34 0.440
150.050 46 0.100
150.280 34 0.260
150.730 33 0.040
150.840 36 0.110
150.960 48 0.080
151.180 37 0.190
151.720 29 0.150
151.880 28 0.110
152.080 29 0.260
152.400 36 0.190
152.620 41 0.210
153.270 36 0.090
153.430 36 0.050
153.530 41 0.050
153.590 29 0.060
153.900 29 0.260
154.170 28 0.050
154.230 36 0.200
154.440 41 0.230
155.110 36 0.100
155.250 36 0.090
155.420 34 0.120
155.740 34 0.300
156.160 29 0.110
156.320 34 0.260
156.970 34 0.080
